"n","p","type1_error","type2_error"
2500,250,0,0
2600,250,0,0
2700,250,0,0
2800,250,0,0
2900,250,0,0
3000,250,0,0
500,275,1,0.016
600,275,1,0.568
700,275,1,0.992
800,275,1,1
900,275,1,1
1000,275,1,1
1100,275,1,0.999
1200,275,1,0.99
1300,275,1,0.952
1400,275,1,0.858
1500,275,0.999,0.72
1600,275,0.979,0.548
1700,275,0.819,0.399
1800,275,0.285,0.307
1900,275,0.026,0.194
2000,275,0,0.086
2100,275,0,0.053
2200,275,0,0.015
2300,275,0,0.00800000000000001
2400,275,0,0.002
2500,275,0,0.001
2600,275,0,0
2700,275,0,0
2800,275,0,0
2900,275,0,0
3000,275,0,0
500,300,1,0
600,300,1,0.183
700,300,1,0.893
800,300,1,1
900,300,1,1
1000,300,1,1
1100,300,1,1
1200,300,1,0.997
1300,300,1,0.995
1400,300,1,0.955
1500,300,1,0.926
1600,300,1,0.798
1700,300,0.997,0.607
1800,300,0.916,0.454
1900,300,0.533,0.386
2000,300,0.108,0.297
2100,300,0.004,0.147
2200,300,0,0.069
2300,300,0,0.029
2400,300,0,0.013
2500,300,0,0.004
2600,300,0,0.001
2700,300,0,0
2800,300,0,0
2900,300,0,0
3000,300,0,0
500,325,1,0
600,325,1,0.039
700,325,1,0.606
800,325,1,0.988
900,325,1,1
1000,325,1,1
1100,325,1,1
1200,325,1,0.999
1300,325,1,1
1400,325,1,0.993
1500,325,1,0.97
1600,325,1,0.913
1700,325,1,0.789
1800,325,1,0.665
1900,325,0.964,0.526
2000,325,0.732,0.403
2100,325,0.279,0.291
2200,325,0.027,0.202
2300,325,0.002,0.102
2400,325,0,0.042
2500,325,0,0.018
2600,325,0,0.005
2700,325,0,0
2800,325,0,0.001
2900,325,0,0
3000,325,0,0
500,350,1,0
600,350,1,0.002
700,350,1,0.231
800,350,1,0.909
900,350,1,0.998
1000,350,1,1
1100,350,1,1
1200,350,1,1
1300,350,1,1
1400,350,1,0.999
1500,350,1,0.996
1600,350,1,0.976
1700,350,1,0.927
1800,350,1,0.848
1900,350,1,0.718
2000,350,0.995,0.599
2100,350,0.872,0.433
2200,350,0.523,0.358
2300,350,0.106,0.246
2400,350,0.008,0.156
2500,350,0,0.0600000000000001
2600,350,0,0.028
2700,350,0,0.012
2800,350,0,0.004
2900,350,0,0.005
3000,350,0,0
500,375,1,0
600,375,1,0.001
700,375,1,0.0580000000000001
800,375,1,0.638
900,375,1,0.98
1000,375,1,1
1100,375,1,1
