n,kappa0,C_gamma,error_rate,power
500,2.5,0.03,0.0,0.0
500,2.6,0.03,0.0,0.0
500,2.7,0.03,0.0,0.0
500,2.8,0.03,0.0,0.0
500,2.9,0.03,0.0,0.0
500,3.0,0.03,0.0,0.0
500,0.1,0.05,0.0,0.0
500,0.2,0.05,0.0,0.0
500,0.3,0.05,0.0,0.0
500,0.4,0.05,0.0,0.001
500,0.5,0.05,0.0,0.001
500,0.6,0.05,0.0,0.015
500,0.7,0.05,0.0,0.15
500,0.8,0.05,0.0,0.737
500,0.9,0.05,0.0,1.0
500,1.0,0.05,0.0,1.0
500,1.1,0.05,0.0,1.0
500,1.2,0.05,0.0,1.0
500,1.3,0.05,0.0,1.0
500,1.4,0.05,0.0,1.0
500,1.5,0.05,0.0,1.0
500,1.6,0.05,0.0,1.0
500,1.7,0.05,0.0,1.0
500,1.8,0.05,0.0,1.0
500,1.9,0.05,0.0,0.984
500,2.0,0.05,0.0,0.582
500,2.1,0.05,0.0,0.052
500,2.2,0.05,0.0,0.0
500,2.3,0.05,0.0,0.0
500,2.4,0.05,0.0,0.0
500,2.5,0.05,0.0,0.0
500,2.6,0.05,0.0,0.0
500,2.7,0.05,0.0,0.0
500,2.8,0.05,0.0,0.0
500,2.9,0.05,0.0,0.0
500,3.0,0.05,0.0,0.0
500,0.1,0.07,1.0,1.0
500,0.2,0.07,0.995,1.0
500,0.3,0.07,0.074,1.0
500,0.4,0.07,0.0,1.0
500,0.5,0.07,0.0,1.0
500,0.6,0.07,0.0,1.0
500,0.7,0.07,0.0,1.0
500,0.8,0.07,0.0,1.0
500,0.9,0.07,0.0,1.0
500,1.0,0.07,0.0,1.0
500,1.1,0.07,0.0,1.0
500,1.2,0.07,0.0,1.0
500,1.3,0.07,0.0,1.0
500,1.4,0.07,0.0,1.0
500,1.5,0.07,0.0,1.0
500,1.6,0.07,0.0,1.0
500,1.7,0.07,0.0,1.0
500,1.8,0.07,0.0,1.0
500,1.9,0.07,0.0,0.983
500,2.0,0.07,0.0,0.626
500,2.1,0.07,0.0,0.049
500,2.2,0.07,0.0,0.0
500,2.3,0.07,0.0,0.0
500,2.4,0.07,0.0,0.0
500,2.5,0.07,0.0,0.0
500,2.6,0.07,0.0,0.0
500,2.7,0.07,0.0,0.0
500,2.8,0.07,0.0,0.0
500,2.9,0.07,0.0,0.0
500,3.0,0.07,0.0,0.0
500,0.1,0.1,1.0,1.0
500,0.2,0.1,0.996,1.0
500,0.3,0.1,0.106,1.0
500,0.4,0.1,0.0,1.0
500,0.5,0.1,0.0,1.0
500,0.6,0.1,0.0,1.0
500,0.7,0.1,0.0,1.0
500,0.8,0.1,0.0,1.0
500,0.9,0.1,0.0,1.0
500,1.0,0.1,0.0,1.0
500,1.1,0.1,0.0,1.0
500,1.2,0.1,0.0,1.0
500,1.3,0.1,0.0,1.0
500,1.4,0.1,0.0,1.0
500,1.5,0.1,0.0,1.0
500,1.6,0.1,0.0,1.0
500,1.7,0.1,0.0,1.0
500,1.8,0.1,0.0,1.0
500,1.9,0.1,0.0,0.983
500,2.0,0.1,0.0,0.549
500,2.1,0.1,0.0,0.055
500,2.2,0.1,0.0,0.0
500,2.3,0.1,0.0,0.0
500,2.4,0.1,0.0,0.0
500,2.5,0.1,0.0,0.0
500,2.6,0.1,0.0,0.0
500,2.7,0.1,0.0,0.0
500,2.8,0.1,0.0,0.0
500,2.9,0.1,0.0,0.0
500,3.0,0.1,0.0,0.0
500,0.1,0.5,1.0,1.0
500,0.2,0.5,0.997,1.0
500,0.3,0.5,0.1,1.0
500,0.4,0.5,0.0,1.0
500,0.5,0.5,0.0,1.0
500,0.6,0.5,0.0,1.0
500,0.7,0.5,0.0,1.0
500,0.8,0.5,0.0,1.0
500,0.9,0.5,0.0,1.0
500,1.0,0.5,0.0,1.0
500,1.1,0.5,0.0,1.0
500,1.2,0.5,0.0,1.0
500,1.3,0.5,0.0,1.0
500,1.4,0.5,0.0,1.0
500,1.5,0.5,0.0,1.0
500,1.6,0.5,0.0,1.0
500,1.7,0.5,0.0,1.0
500,1.8,0.5,0.0,1.0
500,1.9,0.5,0.0,0.985
500,2.0,0.5,0.0,0.625
500,2.1,0.5,0.0,0.049
500,2.2,0.5,0.0,0.0
500,2.3,0.5,0.0,0.0
500,2.4,0.5,0.0,0.0
500,2.5,0.5,0.0,0.0
500,2.6,0.5,0.0,0.0
500,2.7,0.5,0.0,0.0
500,2.8,0.5,0.0,0.0
500,2.9,0.5,0.0,0.0
500,3.0,0.5,0.0,0.0
