"n","kappa0","type1_error","type2_error"
1000,0.33,1,0.995
1100,0.33,1,0.949
1200,0.33,1,0.852
1300,0.33,1,0.621
1400,0.33,1,0.392
1500,0.33,1,0.182
1600,0.33,1,0.074
1700,0.33,1,0.022
1800,0.33,1,0.002
1900,0.33,1,0.001
2000,0.33,1,0
2100,0.33,1,0
2200,0.33,1,0
2300,0.33,1,0
2400,0.33,1,0
2500,0.33,1,0
2600,0.33,1,0
2700,0.33,1,0
2800,0.33,0.998,0
2900,0.33,0.986,0
3000,0.33,0.905,0
500,0.34,1,0
600,0.34,1,0.00700000000000001
700,0.34,1,0.281
800,0.34,1,0.873
900,0.34,1,0.997
1000,0.34,1,0.975
1100,0.34,1,0.877
1200,0.34,1,0.698
1300,0.34,1,0.403
1400,0.34,1,0.191
1500,0.34,1,0.0600000000000001
1600,0.34,1,0.017
1700,0.34,1,0.004
1800,0.34,1,0.002
1900,0.34,1,0
2000,0.34,1,0.001
2100,0.34,1,0
2200,0.34,1,0
2300,0.34,1,0
2400,0.34,1,0
2500,0.34,1,0
2600,0.34,1,0
2700,0.34,0.993,0
2800,0.34,0.958,0
2900,0.34,0.792,0
3000,0.34,0.418,0
500,0.35,1,0
600,0.35,1,0.028
700,0.35,1,0.531
800,0.35,1,0.974
900,0.35,1,0.988
1000,0.35,1,0.938
1100,0.35,1,0.735
1200,0.35,1,0.473
1300,0.35,1,0.201
1400,0.35,1,0.0669999999999999
1500,0.35,1,0.016
1600,0.35,1,0.002
1700,0.35,1,0
1800,0.35,1,0
1900,0.35,1,0
2000,0.35,1,0
2100,0.35,1,0
2200,0.35,1,0
2300,0.35,1,0
2400,0.35,1,0
2500,0.35,1,0
2600,0.35,0.988,0
2700,0.35,0.92,0
2800,0.35,0.621,0
2900,0.35,0.235,0
3000,0.35,0.035,0
500,0.36,1,0
600,0.36,1,0.113
700,0.36,1,0.763
800,0.36,1,0.991
900,0.36,1,0.97
1000,0.36,1,0.819
1100,0.36,1,0.554
1200,0.36,1,0.292
1300,0.36,1,0.09
1400,0.36,1,0.026
1500,0.36,1,0.002
1600,0.36,1,0.001
1700,0.36,1,0
1800,0.36,1,0
1900,0.36,1,0
2000,0.36,1,0
2100,0.36,1,0
2200,0.36,1,0
2300,0.36,1,0
2400,0.36,0.999,0
2500,0.36,0.984,0
2600,0.36,0.844,0
2700,0.36,0.483,0
2800,0.36,0.114,0
2900,0.36,0.008,0
3000,0.36,0,0
500,0.37,1,0.00700000000000001
600,0.37,1,0.265
700,0.37,1,0.917
800,0.37,1,0.992
900,0.37,1,0.906
1000,0.37,1,0.683
1100,0.37,1,0.371
1200,0.37,1,0.148
1300,0.37,1,0.03
1400,0.37,1,0.004
1500,0.37,1,0.002
1600,0.37,1,0
1700,0.37,1,0
1800,0.37,1,0
1900,0.37,1,0
2000,0.37,1,0
2100,0.37,1,0
2200,0.37,1,0
2300,0.37,0.998,0
2400,0.37,0.967,0
2500,0.37,0.804,0
2600,0.37,0.357,0
2700,0.37,0.05,0
2800,0.37,0.003,0
2900,0.37,0,0
3000,0.37,0,0
500,0.38,1,0.011
600,0.38,1,0.488
700,0.38,1,0.97
800,0.38,1,0.969
900,0.38,1,0.807
1000,0.38,1,0.464
1100,0.38,1,0.184
1200,0.38,1,0.047
1300,0.38,1,0.00600000000000001
1400,0.38,1,0.001
1500,0.38,1,0
1600,0.38,1,0
1700,0.38,1,0
1800,0.38,1,0
1900,0.38,1,0
2000,0.38,1,0
2100,0.38,1,0
2200,0.38,0.998,0
2300,0.38,0.966,0
2400,0.38,0.761,0
2500,0.38,0.306,0
2600,0.38,0.036,0
2700,0.38,0,0
2800,0.38,0,0
2900,0.38,0,0
3000,0.38,0,0
500,0.39,1,0.05
600,0.39,1,0.715
700,0.39,1,0.991
800,0.39,1,0.915
900,0.39,1,0.679
1000,0.39,1,0.274
1100,0.39,1,0.079
1200,0.39,1,0.014
1300,0.39,1,0
1400,0.39,1,0
1500,0.39,1,0
1600,0.39,1,0
1700,0.39,1,0
1800,0.39,1,0
1900,0.39,1,0
2000,0.39,1,0
2100,0.39,0.999,0
2200,0.39,0.966,0
2300,0.39,0.766,0
2400,0.39,0.266,0
2500,0.39,0.019,0
2600,0.39,0,0
2700,0.39,0,0
2800,0.39,0,0
2900,0.39,0,0
3000,0.39,0,0
500,0.4,1,0.129
600,0.4,1,0.88
700,0.4,1,0.967
800,0.4,1,0.822
900,0.4,1,0.471
1000,0.4,1,0.132
1100,0.4,1,0.023
1200,0.4,1,0.004
1300,0.4,1,0
1400,0.4,1,0
1500,0.4,1,0
1600,0.4,1,0
1700,0.4,1,0
1800,0.4,1,0
1900,0.4,1,0
2000,0.4,1,0
2100,0.4,0.976,0
2200,0.4,0.738,0
2300,0.4,0.249,0
2400,0.4,0.015,0
2500,0.4,0,0
2600,0.4,0,0
2700,0.4,0,0
2800,0.4,0,0
2900,0.4,0,0
3000,0.4,0,0
500,0.41,1,0.271
600,0.41,1,0.954
700,0.41,1,0.94
800,0.41,1,0.687
900,0.41,1,0.296
1000,0.41,1,0.056
1100,0.41,1,0.00900000000000001
1200,0.41,1,0
1300,0.41,1,0
1400,0.41,1,0
1500,0.41,1,0
1600,0.41,1,0
1700,0.41,1,0
1800,0.41,1,0
1900,0.41,1,0
2000,0.41,0.986,0
2100,0.41,0.802,0
2200,0.41,0.299,0
2300,0.41,0.016,0
2400,0.41,0,0
2500,0.41,0,0
2600,0.41,0,0
2700,0.41,0,0
2800,0.41,0,0
2900,0.41,0,0
3000,0.41,0,0
500,0.42,1,0.469
600,0.42,1,0.982
700,0.42,1,0.879
800,0.42,1,0.51
900,0.42,1,0.149
1000,0.42,1,0.019
1100,0.42,1,0
1200,0.42,1,0
1300,0.42,1,0
1400,0.42,1,0
1500,0.42,1,0
1600,0.42,1,0
1700,0.42,1,0
1800,0.42,1,0
1900,0.42,0.996,0
2000,0.42,0.869,0
2100,0.42,0.336,0
2200,0.42,0.02,0
2300,0.42,0,0
2400,0.42,0,0
2500,0.42,0,0
2600,0.42,0,0
2700,0.42,0,0
2800,0.42,0,0
2900,0.42,0,0
3000,0.42,0,0
500,0.43,1,0.709
600,0.43,1,0.969
700,0.43,1,0.777
800,0.43,1,0.308
900,0.43,1,0.0679999999999999
1000,0.43,1,0.004
1100,0.43,1,0
1200,0.43,1,0
1300,0.43,1,0
1400,0.43,1,0
1500,0.43,1,0
1600,0.43,1,0
1700,0.43,1,0
1800,0.43,0.998,0
1900,0.43,0.93,0
2000,0.43,0.491,0
2100,0.43,0.049,0
2200,0.43,0,0
2300,0.43,0,0
2400,0.43,0,0
2500,0.43,0,0
2600,0.43,0,0
2700,0.43,0,0
2800,0.43,0,0
2900,0.43,0,0
3000,0.43,0,0
500,0.44,1,0.859
600,0.44,1,0.923
700,0.44,1,0.617
800,0.44,1,0.168
900,0.44,1,0.023
1000,0.44,1,0.002
1100,0.44,1,0
1200,0.44,1,0
1300,0.44,1,0
1400,0.44,1,0
1500,0.44,1,0
1600,0.44,1,0
1700,0.44,1,0
1800,0.44,0.971,0
1900,0.44,0.642,0
2000,0.44,0.103,0
2100,0.44,0,0
2200,0.44,0,0
2300,0.44,0,0
2400,0.44,0,0
2500,0.44,0,0
2600,0.44,0,0
2700,0.44,0,0
2800,0.44,0,0
2900,0.44,0,0
3000,0.44,0,0
500,0.45,1,0.936
600,0.45,1,0.864
700,0.45,1,0.411
800,0.45,1,0.079
900,0.45,1,0.014
1000,0.45,1,0
1100,0.45,1,0
1200,0.45,1,0
1300,0.45,1,0
1400,0.45,1,0
1500,0.45,1,0
1600,0.45,1,0
1700,0.45,0.994,0
1800,0.45,0.805,0
1900,0.45,0.195,0
2000,0.45,0.002,0
2100,0.45,0,0
2200,0.45,0,0
2300,0.45,0,0
2400,0.45,0,0
2500,0.45,0,0
2600,0.45,0,0
2700,0.45,0,0
2800,0.45,0,0
2900,0.45,0,0
3000,0.45,0,0
500,0.46,1,0.971
600,0.46,1,0.778
700,0.46,1,0.272
800,0.46,1,0.032
900,0.46,1,0.002
1000,0.46,1,0
1100,0.46,1,0
1200,0.46,1,0
1300,0.46,1,0
1400,0.46,1,0
1500,0.46,1,0
1600,0.46,0.997,0
1700,0.46,0.929,0
1800,0.46,0.407,0
1900,0.46,0.014,0
2000,0.46,0,0
2100,0.46,0,0
2200,0.46,0,0
2300,0.46,0,0
2400,0.46,0,0
2500,0.46,0,0
2600,0.46,0,0
2700,0.46,0,0
2800,0.46,0,0
2900,0.46,0,0
3000,0.46,0,0
500,0.47,1,0.971
600,0.47,1,0.613
700,0.47,1,0.162
800,0.47,1,0.01
900,0.47,1,0.001
1000,0.47,1,0
1100,0.47,1,0
1200,0.47,1,0
1300,0.47,1,0
1400,0.47,1,0
1500,0.47,1,0
1600,0.47,0.984,0
1700,0.47,0.65,0
1800,0.47,0.071,0
1900,0.47,0,0
2000,0.47,0,0
2100,0.47,0,0
2200,0.47,0,0
2300,0.47,0,0
2400,0.47,0,0
2500,0.47,0,0
2600,0.47,0,0
2700,0.47,0,0
2800,0.47,0,0
2900,0.47,0,0
3000,0.47,0,0
500,0.48,1,0.921
600,0.48,1,0.479
700,0.48,1,0.0669999999999999
800,0.48,1,0.004
900,0.48,1,0
1000,0.48,1,0
1100,0.48,1,0
1200,0.48,1,0
1300,0.48,1,0
1400,0.48,1,0
1500,0.48,1,0
1600,0.48,0.888,0
1700,0.48,0.25,0
1800,0.48,0.003,0
1900,0.48,0,0
2000,0.48,0,0
2100,0.48,0,0
2200,0.48,0,0
2300,0.48,0,0
2400,0.48,0,0
2500,0.48,0,0
2600,0.48,0,0
2700,0.48,0,0
2800,0.48,0,0
2900,0.48,0,0
3000,0.48,0,0
500,0.49,1,0.869
600,0.49,1,0.3
700,0.49,1,0.021
800,0.49,1,0
900,0.49,1,0
1000,0.49,1,0
1100,0.49,1,0
1200,0.49,1,0
1300,0.49,1,0
1400,0.49,1,0
1500,0.49,0.979,0
1600,0.49,0.63,0
1700,0.49,0.037,0
1800,0.49,0,0
1900,0.49,0,0
2000,0.49,0,0
2100,0.49,0,0
2200,0.49,0,0
2300,0.49,0,0
2400,0.49,0,0
2500,0.49,0,0
2600,0.49,0,0
2700,0.49,0,0
2800,0.49,0,0
2900,0.49,0,0
3000,0.49,0,0
500,0.5,1,0.776
600,0.5,1,0.192
700,0.5,1,0.00600000000000001
800,0.5,1,0
900,0.5,1,0
1000,0.5,1,0
1100,0.5,1,0
1200,0.5,1,0
1300,0.5,1,0
1400,0.5,0.998,0
1500,0.5,0.881,0
1600,0.5,0.212,0
1700,0.5,0,0
1800,0.5,0,0
1900,0.5,0,0
2000,0.5,0,0
2100,0.5,0,0
2200,0.5,0,0
2300,0.5,0,0
2400,0.5,0,0
2500,0.5,0,0
2600,0.5,0,0
2700,0.5,0,0
2800,0.5,0,0
2900,0.5,0,0
3000,0.5,0,0
500,0.51,1,0.623
600,0.51,1,0.118
700,0.51,1,0.004
800,0.51,1,0
900,0.51,1,0
1000,0.51,1,0
1100,0.51,1,0
1200,0.51,1,0
1300,0.51,1,0
1400,0.51,0.986,0
1500,0.51,0.592,0
1600,0.51,0.039,0
1700,0.51,0,0
1800,0.51,0,0
1900,0.51,0,0
2000,0.51,0,0
2100,0.51,0,0
2200,0.51,0,0
2300,0.51,0,0
2400,0.51,0,0
2500,0.51,0,0
2600,0.51,0,0
2700,0.51,0,0
2800,0.51,0,0
2900,0.51,0,0
3000,0.51,0,0
500,0.52,1,0.482
600,0.52,1,0.042
700,0.52,1,0
800,0.52,1,0
900,0.52,1,0
1000,0.52,1,0
1100,0.52,1,0
1200,0.52,1,0
1300,0.52,1,0
1400,0.52,0.915,0
1500,0.52,0.238,0
1600,0.52,0.001,0
1700,0.52,0,0
1800,0.52,0,0
1900,0.52,0,0
2000,0.52,0,0
2100,0.52,0,0
2200,0.52,0,0
2300,0.52,0,0
2400,0.52,0,0
2500,0.52,0,0
2600,0.52,0,0
2700,0.52,0,0
2800,0.52,0,0
2900,0.52,0,0
3000,0.52,0,0
500,0.53,1,0.328
600,0.53,1,0.023
700,0.53,1,0.001
800,0.53,1,0
900,0.53,1,0
1000,0.53,1,0
1100,0.53,1,0
1200,0.53,1,0
1300,0.53,0.995,0
1400,0.53,0.696,0
1500,0.53,0.042,0
1600,0.53,0,0
1700,0.53,0,0
1800,0.53,0,0
1900,0.53,0,0
2000,0.53,0,0
2100,0.53,0,0
2200,0.53,0,0
2300,0.53,0,0
2400,0.53,0,0
2500,0.53,0,0
2600,0.53,0,0
2700,0.53,0,0
2800,0.53,0,0
2900,0.53,0,0
3000,0.53,0,0
500,0.54,1,0.227
600,0.54,1,0.001
700,0.54,1,0
800,0.54,1,0
900,0.54,1,0
1000,0.54,1,0
1100,0.54,1,0
1200,0.54,1,0
1300,0.54,0.968,0
1400,0.54,0.325,0
1500,0.54,0.003,0
1600,0.54,0,0
1700,0.54,0,0
1800,0.54,0,0
1900,0.54,0,0
2000,0.54,0,0
2100,0.54,0,0
2200,0.54,0,0
2300,0.54,0,0
2400,0.54,0,0
2500,0.54,0,0
2600,0.54,0,0
2700,0.54,0,0
2800,0.54,0,0
2900,0.54,0,0
3000,0.54,0,0
500,0.55,1,0.117
600,0.55,1,0.001
700,0.55,1,0
800,0.55,1,0
900,0.55,1,0
1000,0.55,1,0
1100,0.55,1,0
1200,0.55,0.999,0
1300,0.55,0.861,0
1400,0.55,0.079,0
1500,0.55,0,0
1600,0.55,0,0
1700,0.55,0,0
1800,0.55,0,0
1900,0.55,0,0
2000,0.55,0,0
2100,0.55,0,0
2200,0.55,0,0
2300,0.55,0,0
2400,0.55,0,0
2500,0.55,0,0
2600,0.55,0,0
2700,0.55,0,0
2800,0.55,0,0
2900,0.55,0,0
3000,0.55,0,0
500,0.56,1,0.054
600,0.56,1,0
700,0.56,1,0
800,0.56,1,0
900,0.56,1,0
1000,0.56,1,0
1100,0.56,1,0
1200,0.56,0.996,0
1300,0.56,0.59,0
1400,0.56,0.013,0
1500,0.56,0,0
1600,0.56,0,0
1700,0.56,0,0
1800,0.56,0,0
1900,0.56,0,0
2000,0.56,0,0
2100,0.56,0,0
2200,0.56,0,0
2300,0.56,0,0
2400,0.56,0,0
2500,0.56,0,0
2600,0.56,0,0
2700,0.56,0,0
2800,0.56,0,0
2900,0.56,0,0
3000,0.56,0,0
500,0.57,1,0.027
600,0.57,1,0
700,0.57,1,0
800,0.57,1,0
900,0.57,1,0
1000,0.57,1,0
1100,0.57,1,0
1200,0.57,0.946,0
1300,0.57,0.238,0
1400,0.57,0.001,0
1500,0.57,0,0
1600,0.57,0,0
1700,0.57,0,0
1800,0.57,0,0
1900,0.57,0,0
2000,0.57,0,0
2100,0.57,0,0
2200,0.57,0,0
2300,0.57,0,0
2400,0.57,0,0
2500,0.57,0,0
2600,0.57,0,0
2700,0.57,0,0
2800,0.57,0,0
2900,0.57,0,0
3000,0.57,0,0
500,0.58,1,0.01
600,0.58,1,0
700,0.58,1,0
800,0.58,1,0
900,0.58,1,0
1000,0.58,1,0
1100,0.58,0.998,0
1200,0.58,0.841,0
1300,0.58,0.045,0
1400,0.58,0,0
1500,0.58,0,0
1600,0.58,0,0
1700,0.58,0,0
1800,0.58,0,0
1900,0.58,0,0
2000,0.58,0,0
2100,0.58,0,0
2200,0.58,0,0
2300,0.58,0,0
2400,0.58,0,0
2500,0.58,0,0
2600,0.58,0,0
2700,0.58,0,0
2800,0.58,0,0
2900,0.58,0,0
3000,0.58,0,0
500,0.59,1,0.005
600,0.59,1,0
700,0.59,1,0
800,0.59,1,0
900,0.59,1,0
1000,0.59,1,0
1100,0.59,0.998,0
1200,0.59,0.54,0
1300,0.59,0.001,0
1400,0.59,0,0
1500,0.59,0,0
1600,0.59,0,0
1700,0.59,0,0
1800,0.59,0,0
1900,0.59,0,0
2000,0.59,0,0
2100,0.59,0,0
2200,0.59,0,0
2300,0.59,0,0
2400,0.59,0,0
2500,0.59,0,0
2600,0.59,0,0
2700,0.59,0,0
2800,0.59,0,0
2900,0.59,0,0
3000,0.59,0,0
500,0.6,1,0.001
600,0.6,1,0
700,0.6,1,0
800,0.6,1,0
900,0.6,1,0
1000,0.6,1,0
1100,0.6,0.977,0
1200,0.6,0.209,0
1300,0.6,0,0
1400,0.6,0,0
1500,0.6,0,0
1600,0.6,0,0
1700,0.6,0,0
1800,0.6,0,0
1900,0.6,0,0
2000,0.6,0,0
2100,0.6,0,0
2200,0.6,0,0
2300,0.6,0,0
2400,0.6,0,0
2500,0.6,0,0
2600,0.6,0,0
2700,0.6,0,0
2800,0.6,0,0
2900,0.6,0,0
3000,0.6,0,0
500,0.61,1,0
600,0.61,1,0
700,0.61,1,0
800,0.61,1,0
900,0.61,1,0
1000,0.61,1,0
1100,0.61,0.9,0
1200,0.61,0.048,0
1300,0.61,0,0
1400,0.61,0,0
1500,0.61,0,0
1600,0.61,0,0
1700,0.61,0,0
1800,0.61,0,0
1900,0.61,0,0
2000,0.61,0,0
2100,0.61,0,0
2200,0.61,0,0
2300,0.61,0,0
2400,0.61,0,0
2500,0.61,0,0
2600,0.61,0,0
2700,0.61,0,0
2800,0.61,0,0
2900,0.61,0,0
3000,0.61,0,0
500,0.62,1,0
600,0.62,1,0
700,0.62,1,0
800,0.62,1,0
900,0.62,1,0
1000,0.62,1,0
1100,0.62,0.711,0
1200,0.62,0.006,0
1300,0.62,0,0
1400,0.62,0,0
1500,0.62,0,0
1600,0.62,0,0
1700,0.62,0,0
1800,0.62,0,0
1900,0.62,0,0
2000,0.62,0,0
2100,0.62,0,0
2200,0.62,0,0
2300,0.62,0,0
2400,0.62,0,0
2500,0.62,0,0
2600,0.62,0,0
2700,0.62,0,0
2800,0.62,0,0
2900,0.62,0,0
3000,0.62,0,0
500,0.63,1,0
600,0.63,1,0
700,0.63,1,0
800,0.63,1,0
900,0.63,1,0
1000,0.63,0.998,0
1100,0.63,0.418,0
1200,0.63,0,0
1300,0.63,0,0
1400,0.63,0,0
1500,0.63,0,0
1600,0.63,0,0
1700,0.63,0,0
1800,0.63,0,0
1900,0.63,0,0
2000,0.63,0,0
2100,0.63,0,0
2200,0.63,0,0
2300,0.63,0,0
2400,0.63,0,0
2500,0.63,0,0
2600,0.63,0,0
2700,0.63,0,0
2800,0.63,0,0
2900,0.63,0,0
3000,0.63,0,0
500,0.64,1,0
600,0.64,1,0
700,0.64,1,0
800,0.64,1,0
900,0.64,1,0
1000,0.64,0.977,0
1100,0.64,0.151,0
1200,0.64,0,0
1300,0.64,0,0
1400,0.64,0,0
1500,0.64,0,0
1600,0.64,0,0
1700,0.64,0,0
1800,0.64,0,0
1900,0.64,0,0
2000,0.64,0,0
2100,0.64,0,0
2200,0.64,0,0
2300,0.64,0,0
2400,0.64,0,0
2500,0.64,0,0
2600,0.64,0,0
2700,0.64,0,0
2800,0.64,0,0
2900,0.64,0,0
3000,0.64,0,0
500,0.65,1,0
600,0.65,1,0
700,0.65,1,0
800,0.65,1,0
900,0.65,1,0
1000,0.65,0.895,0
1100,0.65,0.037,0
1200,0.65,0,0
1300,0.65,0,0
1400,0.65,0,0
1500,0.65,0,0
1600,0.65,0,0
1700,0.65,0,0
1800,0.65,0,0
1900,0.65,0,0
2000,0.65,0,0
2100,0.65,0,0
2200,0.65,0,0
2300,0.65,0,0
