n,kappa0,C_gamma,error_rate,power
500,1.0,0.5,0.025,1.0
500,1.1,0.5,0.008,1.0
500,1.2,0.5,0.002,1.0
500,1.3,0.5,0.0,0.998
500,1.4,0.5,0.0,0.989
500,1.5,0.5,0.0,0.984
500,1.6,0.5,0.0,0.915
500,1.7,0.5,0.0,0.815
500,1.8,0.5,0.0,0.691
500,1.9,0.5,0.0,0.466
500,2.0,0.5,0.0,0.268
500,2.1,0.5,0.0,0.13
500,2.2,0.5,0.0,0.041
500,2.3,0.5,0.0,0.009
500,2.4,0.5,0.0,0.001
500,2.5,0.5,0.0,0.0
500,2.6,0.5,0.0,0.0
500,2.7,0.5,0.0,0.0
500,2.8,0.5,0.0,0.0
500,2.9,0.5,0.0,0.0
500,3.0,0.5,0.0,0.0
500,3.1,0.5,0.0,0.0
500,3.2,0.5,0.0,0.0
500,3.3,0.5,0.0,0.0
500,3.4,0.5,0.0,0.0
500,3.5,0.5,0.0,0.0
