"","snr","trial","stoppingT"
"201",0.02,"V1",2400
"202",0.02,"V2",2400
"203",0.02,"V3",2400
"204",0.02,"V4",2400
"205",0.02,"V5",2400
"206",0.02,"V6",2400
"207",0.02,"V7",2400
"208",0.02,"V8",2400
"209",0.02,"V9",2400
"210",0.02,"V10",2400
"211",0.02,"V11",2400
"212",0.02,"V12",2400
"213",0.02,"V13",2400
"214",0.02,"V14",2400
"215",0.02,"V15",2239
"216",0.02,"V16",2400
"217",0.02,"V17",2400
"218",0.02,"V18",2400
"219",0.02,"V19",2400
"220",0.02,"V20",1730
"221",0.02,"V21",2400
"222",0.02,"V22",2400
"223",0.02,"V23",2400
"224",0.02,"V24",2400
"225",0.02,"V25",2400
"226",0.02,"V26",2400
"227",0.02,"V27",2400
"228",0.02,"V28",2400
"229",0.02,"V29",2400
"230",0.02,"V30",2400
"231",0.02,"V31",2400
"232",0.02,"V32",2142
"233",0.02,"V33",2400
"234",0.02,"V34",2400
"235",0.02,"V35",2400
"236",0.02,"V36",2400
"237",0.02,"V37",2400
"238",0.02,"V38",2400
"239",0.02,"V39",2400
"240",0.02,"V40",100
"241",0.02,"V41",2400
"242",0.02,"V42",2400
"243",0.02,"V43",2400
"244",0.02,"V44",2400
"245",0.02,"V45",2400
"246",0.02,"V46",2017
"247",0.02,"V47",2400
"248",0.02,"V48",2400
"249",0.02,"V49",2400
"250",0.02,"V50",2400
"251",0.02,"V51",2400
"252",0.02,"V52",2400
"253",0.02,"V53",2400
"254",0.02,"V54",2400
"255",0.02,"V55",1197
"256",0.02,"V56",2400
"257",0.02,"V57",2400
"258",0.02,"V58",2400
"259",0.02,"V59",2400
"260",0.02,"V60",2400
"261",0.02,"V61",2400
"262",0.02,"V62",2400
"263",0.02,"V63",2400
"264",0.02,"V64",2400
"265",0.02,"V65",2400
"266",0.02,"V66",2400
"267",0.02,"V67",2400
"268",0.02,"V68",2400
"269",0.02,"V69",2400
"270",0.02,"V70",2400
"271",0.02,"V71",2400
"272",0.02,"V72",2400
"273",0.02,"V73",2400
"274",0.02,"V74",2400
