"snr","trial","stoppingT"
0.04,"V180",2400
0.04,"V181",954
0.04,"V182",2400
0.04,"V183",1123
0.04,"V184",1411
0.04,"V185",2400
0.04,"V186",2400
0.04,"V187",2400
0.04,"V188",2400
0.04,"V189",2363
0.04,"V190",2400
0.04,"V191",2400
0.04,"V192",2400
0.04,"V193",2400
0.04,"V194",2400
0.04,"V195",2400
0.04,"V196",2349
0.04,"V197",1954
0.04,"V198",1666
0.04,"V199",2400
0.04,"V200",2400
0.06,"V1",1937
0.06,"V2",2210
0.06,"V3",2400
0.06,"V4",1373
0.06,"V5",2400
0.06,"V6",1069
0.06,"V7",1236
0.06,"V8",392
0.06,"V9",2400
0.06,"V10",1336
0.06,"V11",2400
0.06,"V12",2400
0.06,"V13",836
0.06,"V14",1561
0.06,"V15",2400
0.06,"V16",986
0.06,"V17",2009
0.06,"V18",1100
0.06,"V19",1400
0.06,"V20",2122
0.06,"V21",2400
0.06,"V22",949
0.06,"V23",2400
0.06,"V24",1835
0.06,"V25",2400
0.06,"V26",2400
0.06,"V27",2400
0.06,"V28",2116
0.06,"V29",950
0.06,"V30",2393
0.06,"V31",2400
0.06,"V32",2400
0.06,"V33",977
0.06,"V34",116
0.06,"V35",2400
0.06,"V36",2328
0.06,"V37",36
0.06,"V38",1052
0.06,"V39",2400
0.06,"V40",2400
0.06,"V41",1757
0.06,"V42",65
0.06,"V43",1141
0.06,"V44",2400
0.06,"V45",2400
0.06,"V46",1606
0.06,"V47",301
0.06,"V48",838
0.06,"V49",2400
0.06,"V50",2400
0.06,"V51",1222
0.06,"V52",879
0.06,"V53",2400
0.06,"V54",2400
0.06,"V55",2400
0.06,"V56",2
0.06,"V57",1519
0.06,"V58",48
0.06,"V59",2400
0.06,"V60",2400
0.06,"V61",2400
0.06,"V62",2400
0.06,"V63",845
0.06,"V64",1612
0.06,"V65",2
0.06,"V66",2400
0.06,"V67",1298
0.06,"V68",2400
0.06,"V69",2400
0.06,"V70",2400
0.06,"V71",19
0.06,"V72",265
0.06,"V73",2400
0.06,"V74",2400
0.06,"V75",1050
0.06,"V76",1460
0.06,"V77",1079
0.06,"V78",2400
0.06,"V79",6
0.06,"V80",2400
0.06,"V81",2400
0.06,"V82",2400
0.06,"V83",2400
0.06,"V84",2269
0.06,"V85",1011
0.06,"V86",2400
0.06,"V87",2400
0.06,"V88",1973
0.06,"V89",2400
0.06,"V90",2081
0.06,"V91",1081
0.06,"V92",2400
0.06,"V93",7
0.06,"V94",1848
0.06,"V95",216
0.06,"V96",2400
0.06,"V97",1141
0.06,"V98",1270
0.06,"V99",1109
0.06,"V100",159
0.06,"V101",1193
0.06,"V102",1041
0.06,"V103",1508
0.06,"V104",2400
0.06,"V105",2400
0.06,"V106",2400
0.06,"V107",2400
0.06,"V108",2174
0.06,"V109",2400
0.06,"V110",43
0.06,"V111",1172
0.06,"V112",35
0.06,"V113",2400
0.06,"V114",2400
0.06,"V115",1742
0.06,"V116",1007
0.06,"V117",2078
0.06,"V118",1027
0.06,"V119",2400
0.06,"V120",2400
0.06,"V121",2370
0.06,"V122",889
0.06,"V123",1007
0.06,"V124",2400
0.06,"V125",1430
0.06,"V126",83
0.06,"V127",2400
0.06,"V128",2400
0.06,"V129",1239
0.06,"V130",1848
0.06,"V131",1452
0.06,"V132",1047
0.06,"V133",868
0.06,"V134",2400
0.06,"V135",1487
0.06,"V136",855
0.06,"V137",1451
0.06,"V138",2400
0.06,"V139",2400
0.06,"V140",167
0.06,"V141",2400
0.06,"V142",2400
0.06,"V143",1754
0.06,"V144",1114
0.06,"V145",1237
0.06,"V146",1268
0.06,"V147",1219
0.06,"V148",2400
0.06,"V149",2
0.06,"V150",2400
0.06,"V151",2400
0.06,"V152",2400
0.06,"V153",2079
0.06,"V154",1976
0.06,"V155",2400
0.06,"V156",1575
0.06,"V157",1637
0.06,"V158",2400
0.06,"V159",2400
0.06,"V160",1196
0.06,"V161",2400
0.06,"V162",1168
0.06,"V163",2400
0.06,"V164",1594
0.06,"V165",2400
0.06,"V166",2302
0.06,"V167",972
0.06,"V168",1051
0.06,"V169",892
0.06,"V170",2400
0.06,"V171",1290
0.06,"V172",2192
0.06,"V173",2400
0.06,"V174",2400
0.06,"V175",1103
0.06,"V176",2112
