"snr","trial","stoppingT"
0.04,"V182",2401
0.04,"V183",755
0.04,"V184",2401
0.04,"V185",2079
0.04,"V186",765
0.04,"V187",2401
0.04,"V188",1342
0.04,"V189",2401
0.04,"V190",2401
0.04,"V191",755
0.04,"V192",2401
0.04,"V193",2401
0.04,"V194",1069
0.04,"V195",750
0.04,"V196",1395
0.04,"V197",2401
0.04,"V198",2401
0.04,"V199",2401
0.04,"V200",1400
0.06,"V1",2273
0.06,"V2",836
0.06,"V3",1108
0.06,"V4",1500
0.06,"V5",769
0.06,"V6",917
0.06,"V7",162
0.06,"V8",1093
0.06,"V9",726
0.06,"V10",487
0.06,"V11",871
0.06,"V12",1202
0.06,"V13",2401
0.06,"V14",1089
0.06,"V15",2401
0.06,"V16",694
0.06,"V17",1171
0.06,"V18",683
0.06,"V19",346
0.06,"V20",794
0.06,"V21",1500
0.06,"V22",876
0.06,"V23",2401
0.06,"V24",1321
0.06,"V25",663
0.06,"V26",661
0.06,"V27",753
0.06,"V28",2401
0.06,"V29",858
0.06,"V30",825
0.06,"V31",1286
0.06,"V32",893
0.06,"V33",1875
0.06,"V34",906
0.06,"V35",731
0.06,"V36",1215
0.06,"V37",1028
0.06,"V38",997
0.06,"V39",1553
0.06,"V40",1326
0.06,"V41",1063
0.06,"V42",810
0.06,"V43",2401
0.06,"V44",1053
0.06,"V45",984
0.06,"V46",1626
0.06,"V47",897
0.06,"V48",990
0.06,"V49",902
0.06,"V50",932
0.06,"V51",740
0.06,"V52",694
0.06,"V53",1437
0.06,"V54",1391
0.06,"V55",2343
0.06,"V56",2401
0.06,"V57",2401
0.06,"V58",2401
0.06,"V59",1252
0.06,"V60",720
0.06,"V61",894
0.06,"V62",1448
0.06,"V63",2401
0.06,"V64",1012
0.06,"V65",1737
0.06,"V66",1201
0.06,"V67",737
0.06,"V68",2401
0.06,"V69",961
0.06,"V70",2401
0.06,"V71",929
0.06,"V72",820
0.06,"V73",2401
0.06,"V74",333
0.06,"V75",2401
0.06,"V76",1046
0.06,"V77",2401
0.06,"V78",1794
0.06,"V79",1068
0.06,"V80",2401
0.06,"V81",160
0.06,"V82",250
0.06,"V83",941
0.06,"V84",531
0.06,"V85",1670
0.06,"V86",1282
0.06,"V87",2401
0.06,"V88",1427
0.06,"V89",2401
0.06,"V90",2401
0.06,"V91",1345
0.06,"V92",208
0.06,"V93",1839
0.06,"V94",2401
0.06,"V95",2401
0.06,"V96",910
0.06,"V97",1122
0.06,"V98",865
0.06,"V99",1143
0.06,"V100",654
0.06,"V101",204
0.06,"V102",1791
0.06,"V103",2401
0.06,"V104",1079
0.06,"V105",911
0.06,"V106",2401
0.06,"V107",2401
0.06,"V108",698
0.06,"V109",1009
0.06,"V110",755
0.06,"V111",1448
0.06,"V112",581
0.06,"V113",834
0.06,"V114",2401
0.06,"V115",296
0.06,"V116",1977
0.06,"V117",877
0.06,"V118",2401
0.06,"V119",1379
0.06,"V120",1831
0.06,"V121",2003
0.06,"V122",773
0.06,"V123",1778
0.06,"V124",177
0.06,"V125",887
0.06,"V126",843
0.06,"V127",2401
0.06,"V128",1042
0.06,"V129",805
0.06,"V130",1530
0.06,"V131",914
0.06,"V132",1435
0.06,"V133",1049
0.06,"V134",885
0.06,"V135",1214
0.06,"V136",740
0.06,"V137",691
0.06,"V138",654
0.06,"V139",984
0.06,"V140",807
0.06,"V141",1053
0.06,"V142",2401
0.06,"V143",2401
0.06,"V144",1101
0.06,"V145",2401
0.06,"V146",835
0.06,"V147",673
0.06,"V148",1141
0.06,"V149",665
0.06,"V150",698
0.06,"V151",816
0.06,"V152",819
0.06,"V153",1173
0.06,"V154",1697
0.06,"V155",1271
0.06,"V156",777
0.06,"V157",2401
0.06,"V158",698
0.06,"V159",1408
0.06,"V160",935
0.06,"V161",2401
0.06,"V162",1645
0.06,"V163",1141
0.06,"V164",764
0.06,"V165",1331
0.06,"V166",759
0.06,"V167",2401
0.06,"V168",475
0.06,"V169",1439
0.06,"V170",885
0.06,"V171",843
